"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/08/2024","4,28","4,21","-0,70","4,21","4,34","12,17M"
"15/08/2024","4,21","4,24","1,90","4,21","4,31","34,50M"
"14/08/2024","4,13","4,16","1,20","4,07","4,17","11,53M"
"13/08/2024","4,11","4,11","0,00","4,08","4,13","17,31M"
"12/08/2024","4,12","4,11","0,00","4,08","4,17","9,78M"
"09/08/2024","4,04","4,11","2,21","4,02","4,15","18,69M"
"08/08/2024","4,00","4,02","0,49","3,99","4,04","14,06M"
"07/08/2024","3,99","4,00","0,75","3,95","4,01","11,95M"
"06/08/2024","3,91","3,97","0,75","3,87","3,98","13,73M"
"05/08/2024","3,86","3,94","-0,25","3,80","3,95","12,76M"
"02/08/2024","3,94","3,95","0,25","3,93","4,01","8,35M"
"01/08/2024","4,01","3,94","-1,24","3,91","4,03","12,58M"
"31/07/2024","3,93","3,99","2,00","3,93","4,02","14,95M"
"30/07/2024","3,92","3,91","-0,25","3,89","3,93","7,29M"
"29/07/2024","3,93","3,92","0,25","3,89","3,94","8,88M"
"26/07/2024","3,90","3,91","1,27","3,87","3,95","22,70M"
"25/07/2024","3,90","3,87","-1,00","3,87","3,91","20,82M"
"24/07/2024","3,98","3,90","-1,72","3,88","3,99","11,97M"
"23/07/2024","4,03","3,97","-1,22","3,96","4,03","11,08M"
"22/07/2024","3,94","4,02","2,24","3,93","4,03","8,94M"
"19/07/2024","4,02","3,93","-1,95","3,90","4,06","33,77M"
"18/07/2024","4,14","4,01","-3,07","3,99","4,14","24,82M"
"17/07/2024","4,15","4,14","0,00","4,10","4,16","16,34M"
"16/07/2024","4,17","4,14","0,23","4,09","4,19","12,27M"
"15/07/2024","4,22","4,13","-2,09","4,12","4,23","44,89M"
"12/07/2024","4,22","4,22","0,46","4,15","4,23","9,09M"
"11/07/2024","4,16","4,20","0,94","4,16","4,22","9,48M"
"10/07/2024","4,17","4,16","0,00","4,14","4,23","12,57M"
"09/07/2024","4,11","4,16","1,19","4,06","4,16","16,80M"
"08/07/2024","4,11","4,11","-1,41","4,10","4,16","6,37M"
"05/07/2024","4,08","4,17","1,91","4,04","4,17","10,74M"
"04/07/2024","3,95","4,09","3,21","3,95","4,12","22,23M"
"03/07/2024","3,87","3,96","2,28","3,90","3,96","16,62M"
"02/07/2024","3,84","3,88","0,25","3,83","3,90","19,48M"
"01/07/2024","n/d","3,87","0,77","3,84","3,90","10,07M"
"28/06/2024","3,82","3,84","-0,76","3,82","3,88","17,08M"
"27/06/2024","3,86","3,87","1,27","3,79","3,87","14,85M"
"26/06/2024","3,86","3,82","-1,50","3,80","3,86","14,79M"
"25/06/2024","3,86","3,88","1,27","3,83","3,88","8,49M"
"24/06/2024","3,75","3,83","2,34","3,75","3,85","7,82M"
"21/06/2024","3,68","3,74","1,31","3,66","3,74","16,83M"
"20/06/2024","3,70","3,69","0,00","3,65","3,74","13,17M"
"19/06/2024","3,68","3,69","0,80","3,61","3,72","9,91M"
"18/06/2024","3,63","3,66","0,80","3,62","3,72","43,98M"
"17/06/2024","3,64","3,63","-0,26","3,58","3,67","38,12M"
"14/06/2024","3,69","3,64","-1,32","3,62","3,71","9,87M"
"13/06/2024","3,69","3,69","0,00","3,65","3,72","10,57M"
"12/06/2024","3,77","3,69","-1,29","3,64","3,79","13,95M"
"11/06/2024","3,72","3,74","0,26","3,69","3,75","27,05M"
"10/06/2024","3,79","3,73","-0,78","3,69","3,81","16,07M"
"07/06/2024","3,79","3,76","-2,27","3,76","3,84","19,42M"
"06/06/2024","3,76","3,85","2,86","3,75","3,85","23,88M"
"05/06/2024","4,03","3,74","-7,23","3,69","4,04","180,15M"
"04/06/2024","4,02","4,03","0,49","3,96","4,04","35,42M"
"03/06/2024","3,88","4,01","3,25","3,88","4,01","26,92M"
"31/05/2024","3,94","3,88","-0,75","3,88","3,94","10,46M"
"29/05/2024","3,93","3,91","-0,49","3,89","3,94","18,97M"
"28/05/2024","3,97","3,93","-0,25","3,93","4,02","15,47M"
"27/05/2024","3,93","3,94","0,74","3,92","3,97","5,85M"
"24/05/2024","3,93","3,91","-0,25","3,91","3,98","7,72M"
"23/05/2024","3,97","3,92","-0,73","3,88","3,97","14,71M"
"22/05/2024","3,99","3,95","-1,44","3,93","4,00","22,21M"
"21/05/2024","4,02","4,01","0,24","3,99","4,05","53,50M"
"20/05/2024","4,16","4,00","0,24","3,94","4,17","41,67M"
"17/05/2024","4,03","3,99","-1,19","3,99","4,04","17,45M"
"16/05/2024","4,06","4,04","0,48","4,01","4,07","8,99M"
"15/05/2024","4,09","4,02","-0,71","3,98","4,10","23,44M"
"14/05/2024","4,11","4,05","-0,24","4,02","4,11","14,34M"
"13/05/2024","4,05","4,06","0,24","4,03","4,09","5,09M"
"10/05/2024","4,10","4,05","0,00","4,02","4,17","19,11M"
"09/05/2024","4,03","4,05","-1,64","3,99","4,08","21,20M"
"08/05/2024","4,06","4,12","1,42","4,03","4,12","19,75M"
"07/05/2024","4,12","4,06","-1,17","4,04","4,14","25,17M"
"06/05/2024","4,21","4,11","-2,29","4,11","4,21","15,75M"
"03/05/2024","4,20","4,20","0,92","4,18","4,25","21,16M"
"02/05/2024","4,23","4,16","0,47","4,13","4,23","11,56M"
"30/04/2024","4,19","4,15","-2,27","4,13","4,19","8,38M"
"29/04/2024","4,15","4,24","2,31","4,11","4,24","7,30M"
"26/04/2024","4,06","4,15","2,61","4,06","4,18","22,95M"
"25/04/2024","4,00","4,04","0,95","3,98","4,09","14,86M"
"24/04/2024","3,98","4,00","0,72","3,96","4,02","6,56M"
"23/04/2024","4,01","3,97","-1,20","3,95","4,05","7,63M"
"22/04/2024","4,13","4,02","-1,87","4,02","4,13","10,91M"
"19/04/2024","3,96","4,10","3,38","3,95","4,10","15,89M"
"18/04/2024","3,95","3,96","1,23","3,92","4,08","13,62M"
"17/04/2024","3,95","3,92","-0,49","3,91","4,00","9,24M"
"16/04/2024","3,88","3,94","0,73","3,83","3,98","12,95M"
"15/04/2024","4,03","3,91","-2,86","3,86","4,04","18,38M"
"12/04/2024","4,20","4,02","-8,10","3,99","4,20","56,34M"
"11/04/2024","4,47","4,38","-2,35","4,38","4,50","11,36M"
"10/04/2024","4,57","4,48","-2,29","4,45","4,60","11,26M"
"09/04/2024","4,58","4,59","0,21","4,57","4,65","6,96M"
"08/04/2024","4,51","4,58","1,92","4,47","4,58","9,10M"
"05/04/2024","4,55","4,49","-1,26","4,41","4,57","5,86M"
"04/04/2024","4,52","4,55","0,42","4,49","4,63","23,02M"
"03/04/2024","4,52","4,53","0,43","4,45","4,64","13,69M"
"02/04/2024","4,38","4,51","2,17","4,29","4,56","33,37M"
"01/04/2024","4,62","4,41","-4,95","4,41","4,68","14,31M"
"28/03/2024","4,27","4,64","8,93","4,24","4,66","32,89M"
"27/03/2024","4,13","4,26","4,19","4,10","4,26","15,28M"
"26/03/2024","4,11","4,09","2,38","4,05","4,23","21,59M"
"25/03/2024","4,04","4,00","-0,48","3,98","4,04","6,09M"
"22/03/2024","4,06","4,02","-1,17","4,02","4,08","7,08M"
"21/03/2024","4,13","4,06","-1,61","4,06","4,16","5,41M"
"20/03/2024","4,07","4,13","1,88","4,03","4,18","6,87M"
"19/03/2024","4,07","4,05","0,00","4,03","4,09","4,37M"
"18/03/2024","4,10","4,05","-0,94","4,03","4,12","6,31M"
"15/03/2024","4,17","4,09","-2,05","4,08","4,20","14,84M"
"14/03/2024","4,15","4,18","0,92","4,10","4,19","14,69M"
"13/03/2024","4,10","4,14","0,46","4,08","4,16","16,19M"
"12/03/2024","4,10","4,12","0,94","4,06","4,14","18,10M"
"11/03/2024","4,13","4,08","-1,15","4,07","4,18","8,28M"
"08/03/2024","4,07","4,13","1,17","4,04","4,21","7,52M"
"07/03/2024","4,10","4,08","-0,24","4,06","4,13","24,37M"
"06/03/2024","4,17","4,09","-1,15","4,09","4,18","7,99M"
"05/03/2024","4,14","4,14","0,00","4,10","4,23","8,56M"
"04/03/2024","4,23","4,14","-1,59","4,14","4,27","9,66M"
"01/03/2024","4,24","4,21","-0,22","4,18","4,27","8,56M"
"29/02/2024","4,24","4,22","-0,67","4,17","4,24","9,46M"
"28/02/2024","4,20","4,24","0,90","4,16","4,26","11,50M"
"27/02/2024","4,08","4,21","3,74","4,08","4,21","14,27M"
"26/02/2024","4,11","4,05","-1,61","4,04","4,15","12,59M"
"23/02/2024","4,25","4,12","-3,11","4,11","4,28","10,41M"
"22/02/2024","4,11","4,25","3,92","4,11","4,25","20,18M"
"21/02/2024","4,11","4,09","-0,45","4,06","4,16","9,74M"
"20/02/2024","4,01","4,11","2,35","3,99","4,11","30,14M"
"19/02/2024","4,03","4,02","0,00","3,99","4,05","11,89M"
"16/02/2024","4,03","4,02","0,47","3,99","4,05","26,57M"
"15/02/2024","4,05","4,00","-0,94","4,00","4,06","14,97M"
"14/02/2024","4,06","4,04","-0,93","4,02","4,07","6,73M"
"09/02/2024","4,19","4,07","-2,04","4,06","4,21","46,91M"
"08/02/2024","4,51","4,16","-7,18","4,16","4,54","19,57M"
"07/02/2024","4,40","4,48","1,94","4,30","4,48","9,86M"
"06/02/2024","4,37","4,40","0,65","4,37","4,45","7,81M"
"05/02/2024","4,38","4,37","0,22","4,32","4,40","8,42M"
"02/02/2024","4,35","4,36","0,44","4,25","4,43","9,93M"
"01/02/2024","4,47","4,34","-2,55","4,29","4,47","16,45M"
"31/01/2024","4,47","4,45","0,21","4,41","4,53","15,87M"
"30/01/2024","4,53","4,44","-1,66","4,41","4,55","9,86M"
"29/01/2024","4,58","4,52","-1,23","4,49","4,60","10,73M"
"26/01/2024","4,58","4,57","0,00","4,53","4,64","11,73M"
"25/01/2024","4,54","4,57","1,03","4,53","4,63","6,08M"
"24/01/2024","4,64","4,53","-2,23","4,53","4,70","8,51M"
"23/01/2024","4,56","4,63","1,44","4,55","4,65","6,28M"
"22/01/2024","4,69","4,56","-2,41","4,51","4,71","11,14M"
"19/01/2024","4,58","4,68","2,47","4,51","4,68","6,42M"
"18/01/2024","4,70","4,56","-2,81","4,55","4,73","13,22M"
"17/01/2024","4,73","4,70","-0,60","4,65","4,78","10,38M"
"16/01/2024","4,81","4,72","-2,14","4,71","4,81","14,06M"
"15/01/2024","4,82","4,83","0,00","4,76","4,87","6,81M"
"12/01/2024","4,72","4,83","1,79","4,71","4,88","7,80M"
"11/01/2024","4,81","4,74","-1,56","4,69","4,82","11,25M"
"10/01/2024","4,83","4,82","0,20","4,76","4,85","6,73M"
"09/01/2024","4,84","4,81","-0,59","4,77","4,85","6,34M"
"08/01/2024","4,77","4,84","1,38","4,71","4,84","8,22M"
"05/01/2024","4,75","4,77","0,40","4,71","4,87","11,88M"
"04/01/2024","4,95","4,75","-3,98","4,71","4,99","13,02M"
"03/01/2024","4,98","4,95","-1,68","4,87","5,02","11,19M"
"02/01/2024","5,22","5,03","-3,77","4,97","5,23","19,80M"
"28/12/2023","5,27","5,23","-0,36","5,18","5,31","14,18M"
"27/12/2023","5,09","5,25","2,93","5,03","5,25","16,66M"
"26/12/2023","5,02","5,10","2,63","4,98","5,10","12,74M"
"22/12/2023","4,79","4,97","4,93","4,78","5,00","76,60M"
"21/12/2023","4,65","4,74","2,22","4,63","4,76","19,08M"
"20/12/2023","4,59","4,63","1,02","4,53","4,64","14,04M"
"19/12/2023","4,53","4,59","1,65","4,51","4,59","6,16M"
"18/12/2023","4,55","4,51","-0,62","4,51","4,63","8,13M"
"15/12/2023","4,58","4,54","-0,81","4,48","4,65","11,85M"
"14/12/2023","4,55","4,58","0,62","4,52","4,66","21,01M"
"13/12/2023","4,46","4,55","3,39","4,35","4,55","15,07M"
"12/12/2023","4,39","4,40","0,42","4,36","4,47","6,15M"
"11/12/2023","4,40","4,38","-0,64","4,32","4,48","8,10M"
"08/12/2023","4,44","4,41","-0,63","4,37","4,48","8,32M"
"07/12/2023","4,30","4,44","3,71","4,29","4,47","10,50M"
"06/12/2023","4,40","4,28","-1,50","4,28","4,45","8,88M"
"05/12/2023","4,28","4,34","1,97","4,24","4,47","23,12M"
"04/12/2023","4,28","4,26","0,00","4,19","4,28","12,07M"
"01/12/2023","4,09","4,26","4,35","4,08","4,28","23,72M"
"30/11/2023","4,07","4,08","0,23","4,05","4,11","10,95M"
"29/11/2023","4,11","4,07","-0,46","4,05","4,17","10,08M"
